date,pm25,pm10,o3,no2,so2,co
7/8/2022,43,4,22,1,500,
7/7/2022,18,21,22,1,500,
7/6/2022,37,11,29,1,500,
7/5/2022,5,26,24,1,500,
7/4/2022,5,21,23,1,500,
7/3/2022,40,20,22,1,500,
7/2/2022,11,12,16,1,500,
7/1/2022,15,27,20,1,500,
6/30/2022,31,15,14,1,500,
6/29/2022,57,34,23,1,500,
6/28/2022,69,40,22,1,500,
6/27/2022,41,47,18,1,500,
6/26/2022,5,19,19,1,500,
6/25/2022,31,48,18,1,500,
6/24/2022,24,42,16,1,500,
6/23/2022,13,3,21,1,500,
6/22/2022,76,37,20,1,500,
6/21/2022,38,12,20,1,500,
6/20/2022,75,25,29,1,500,
6/19/2022,17,21,21,1,500,
6/18/2022,60,13,25,1,500,
6/17/2022,52,31,20,1,500,
6/16/2022,53,3,19,1,500,
6/15/2022,38,14,20,1,500,
6/14/2022,40,12,21,1,500,
6/13/2022,27,13,23,1,500,
6/12/2022,40,34,22,1,500,
6/11/2022,49,24,19,1,500,
6/10/2022,66,3,27,1,500,
6/9/2022,50,3,18,1,500,
6/8/2022,26,20,17,1,500,
6/7/2022,16,29,18,1,500,
6/6/2022,25,31,22,1,500,
6/5/2022,28,21,25,1,500,
6/4/2022,30,25,27,1,500,
6/3/2022,75,3,24,1,500,
6/2/2022,25,25,27,1,500,
6/1/2022,69,34,20,1,500,
5/31/2022,62,38,19,1,500,
5/30/2022,16,5,25,1,500,
5/29/2022,39,13,23,1,500,
5/28/2022,71,15,20,1,500,
5/27/2022,60,54,21,1,500,
5/26/2022,32,23,19,1,500,
5/25/2022,17,31,16,1,500,
5/24/2022,10,12,17,1,500,
5/23/2022,40,23,16,1,500,
5/22/2022,16,32,16,1,500,
5/21/2022,57,27,21,1,500,
5/20/2022,48,30,15,1,500,
5/19/2022,5,27,14,1,500,
5/18/2022,60,42,18,1,500,
5/17/2022,12,21,15,1,500,
5/16/2022,13,28,12,1,500,
5/15/2022,10,47,15,1,500,
5/14/2022,51,14,16,1,500,
5/13/2022,73,31,17,1,500,
5/12/2022,65,17,15,1,500,
5/11/2022,54,10,20,1,500,
5/10/2022,95,34,13,1,500,
5/9/2022,23,10,19,1,500,
5/8/2022,46,31,8,1,500,
5/7/2022,27,11,12,1,500,
5/6/2022,5,25,14,1,500,
5/5/2022,14,9,20,1,500,
5/4/2022,48,19,36,1,500,
5/3/2022,14,44,32,1,500,
5/2/2022,36,21,17,1,500,
5/1/2022,9,56,14,1,500,
4/30/2022,66,21,18,1,500,
4/29/2022,36,34,19,1,500,
4/28/2022,25,23,14,1,500,
4/27/2022,42,44,14,1,500,
4/26/2022,22,27,16,1,500,
4/25/2022,65,54,9,1,500,
4/24/2022,21,34,8,1,500,
4/23/2022,52,34,9,1,500,
4/22/2022,61,19,12,1,500,
4/21/2022,19,29,14,1,500,
4/20/2022,56,23,10,1,500,
4/19/2022,46,37,12,1,500,
4/18/2022,62,3,6,1,500,
4/17/2022,18,27,7,1,500,
4/16/2022,22,4,11,1,500,
4/15/2022,26,16,13,1,500,
4/14/2022,34,21,22,1,500,
4/13/2022,40,37,13,1,500,
4/12/2022,39,34,8,1,500,
4/11/2022,67,20,13,1,500,
4/10/2022,42,28,21,1,500,
4/9/2022,39,40,32,1,500,
4/8/2022,29,38,44,1,500,
4/7/2022,40,39,34,1,500,
4/6/2022,22,37,47,1,500,
4/5/2022,58,36,47,1,500,
4/4/2022,83,42,45,1,500,
4/3/2022,50,10,38,1,500,
4/2/2022,67,31,18,1,500,
4/1/2022,61,21,14,1,500,
3/31/2022,52,35,10,1,500,
3/30/2022,38,30,6,1,500,
3/29/2022,5,25,6,1,500,
3/28/2022,46,17,8,1,500,
3/27/2022,18,13,11,1,500,
3/26/2022,62,11,9,1,500,
3/25/2022,59,31,4,1,500,
3/24/2022,29,5,6,1,500,
3/23/2022,103,25,12,1,500,
3/22/2022,5,25,12,1,500,
3/21/2022,26,56,12,1,500,
3/20/2022,33,25,13,1,500,
3/19/2022,17,36,14,1,500,
3/18/2022,75,13,11,1,500,
3/17/2022,57,23,11,1,500,
3/16/2022,39,28,11,1,500,
3/15/2022,52,28,13,1,500,
3/14/2022,12,21,16,1,500,
3/13/2022,38,48,3,1,500,
3/12/2022,59,36,2,12,500,
3/11/2022,60,49,22,11,500,
3/10/2022,56,34,11,1,500,
3/9/2022,55,35,11,1,500,
3/8/2022,65,13,18,1,500,
3/7/2022,65,14,4,1,500,
3/6/2022,49,37,4,16,500,
3/5/2022,5,11,4,1,500,
3/4/2022,27,28,6,1,500,
3/3/2022,6,42,15,1,500,
3/2/2022,34,29,11,1,500,
3/1/2022,85,17,9,1,500,
2/28/2022,42,24,15,1,500,
2/27/2022,5,36,19,1,500,
2/26/2022,82,4,13,1,500,
2/25/2022,24,31,15,1,500,
2/24/2022,56,45,11,1,500,
2/23/2022,29,25,7,1,500,
2/22/2022,42,46,6,1,500,
2/21/2022,5,22,6,1,500,
2/20/2022,54,34,8,1,500,
2/19/2022,5,6,5,1,500,
2/18/2022,14,55,3,1,500,
2/17/2022,13,20,3,1,500,
2/16/2022,31,18,3,1,500,
2/15/2022,77,18,3,1,500,
2/14/2022,58,40,3,1,500,
2/13/2022,42,16,2,1,500,
2/12/2022,57,22,2,1,500,
2/11/2022,27,14,3,1,500,
2/10/2022,25,24,2,1,500,
2/9/2022,20,51,2,1,500,
2/8/2022,32,13,2,1,500,
2/7/2022,43,39,3,1,500,
2/6/2022,14,20,7,1,500,
2/5/2022,33,40,7,1,500,
2/4/2022,54,3,5,1,500,
2/3/2022,30,18,4,1,500,
2/2/2022,50,22,4,1,500,
2/1/2022,61,37,4,1,500,
1/31/2022,44,3,4,1,500,
1/30/2022,42,35,3,1,500,
1/29/2022,24,35,3,1,500,
1/28/2022,47,3,5,1,500,
1/27/2022,5,26,3,1,500,
1/26/2022,36,33,3,1,500,
1/25/2022,47,21,2,1,500,
1/24/2022,64,38,2,1,500,
1/23/2022,26,30,3,1,500,
1/22/2022,51,26,5,1,500,
1/21/2022,47,28,6,1,500,
1/20/2022,20,19,5,1,500,
1/19/2022,70,12,8,1,500,
