date,pm25,pm10,o3,no2,so2,co
11/13/2022,28,15,18,11,3,1
11/12/2022,17,10,19,1,5,2
11/11/2022,20,22,15,9,20,5
11/10/2022,21,15,13,15,1,1
11/9/2022,28,28,16,1,5,7
11/8/2022,56,13,14,5,15,8
11/7/2022,70,24,18,1,1,10
11/6/2022,33,3,23,3,11,1
11/5/2022,44,9,8,11,2,5
11/4/2022,28,36,17,1,16,2
11/3/2022,69,24,11,11,3,11
11/2/2022,71,46,8,9,2,4
11/1/2022,29,3,11,1,18,4
10/31/2022,47,63,12,10,5,4
10/30/2022,1,1,9,1,11,5
10/29/2022,1,30,17,5,13,7
10/28/2022,63,10,28,6,25,3
10/27/2022,38,30,13,5,19,2
10/26/2022,91,21,13,2,11,6
10/25/2022,45,19,20,1,15,1
10/24/2022,1,28,13,2,20,4
10/23/2022,65,29,10,6,1,7
10/22/2022,13,7,4,1,15,8
10/21/2022,68,28,4,12,1,6
10/20/2022,46,14,3,10,15,1
10/19/2022,1,12,14,4,15,4
10/18/2022,85,18,12,1,8,5
10/17/2022,46,34,12,7,5,1
10/16/2022,35,13,11,8,15,1
10/15/2022,31,25,11,1,27,4
10/14/2022,10,1,12,1,13,1
10/13/2022,62,7,17,16,27,10
10/12/2022,86,12,15,1,9,3
10/11/2022,20,10,14,1,20,5
10/10/2022,37,11,11,6,14,3
10/9/2022,53,20,7,1,19,5
10/8/2022,98,14,13,13,1,2
10/7/2022,41,29,14,8,11,1
10/6/2022,39,8,14,2,8,2
10/5/2022,75,16,12,11,12,2
10/4/2022,74,13,10,1,1,8
10/3/2022,93,13,13,3,8,6
10/2/2022,49,15,13,12,4,9
10/1/2022,57,23,13,4,5,2
9/30/2022,1,14,9,1,13,4
9/29/2022,45,29,9,1,2,1
9/28/2022,64,49,8,3,1,8
9/27/2022,18,23,5,8,7,5
9/26/2022,81,24,16,1,3,5
9/25/2022,59,30,13,4,1,6
9/24/2022,62,32,12,9,3,4
9/23/2022,47,36,12,1,13,1
9/22/2022,96,32,9,8,14,5
9/21/2022,50,9,13,1,5,6
9/20/2022,13,1,12,14,17,2
9/19/2022,5,1,14,5,16,1
9/18/2022,40,39,16,1,12,5
9/17/2022,55,21,13,7,17,3
9/16/2022,87,25,12,17,4,4
9/15/2022,84,3,12,14,1,5
9/14/2022,171,26,18,1,4,3
9/13/2022,170,23,20,1,16,4
9/12/2022,20,3,12,1,2,3
9/11/2022,172,30,17,15,6,3
9/10/2022,20,41,14,7,1,9
9/9/2022,159,26,1,1,20,6
9/8/2022,159,18,11,8,17,6
9/7/2022,176,35,5,7,1,3
9/6/2022,13,45,17,22,16,10
9/5/2022,34,12,8,15,1,2
9/4/2022,176,3,8,10,8,1
9/3/2022,72,8,5,1,4,3
9/2/2022,4,1,20,1,1,7
9/1/2022,55,23,40,8,6,1
8/31/2022,176,4,9,6,8,3
8/30/2022,171,37,16,14,14,2
8/29/2022,159,1,16,1,6,6
8/28/2022,56,8,15,3,6,1
8/27/2022,33,11,14,3,3,3
8/26/2022,162,1,16,11,17,4
8/25/2022,10,85,8,1,10,4
8/24/2022,1,7,10,11,13,4
8/23/2022,2,1,14,12,13,3
8/22/2022,28,1,16,13,4,1
8/21/2022,60,1,11,8,1,4
8/20/2022,38,1,9,6,6,5
8/19/2022,81,1,13,8,15,2
8/18/2022,69,35,18,3,2,5
8/17/2022,1,12,15,1,1,6
8/16/2022,92,24,11,1,10,4
8/15/2022,37,2,1,1,14,4
8/14/2022,38,1,8,17,4,1
8/13/2022,41,33,5,16,1,2
8/12/2022,80,35,19,12,3,4
8/11/2022,76,23,6,8,12,3
8/10/2022,69,33,7,1,18,3
8/9/2022,33,17,7,7,6,4
8/8/2022,3,7,9,1,6,1
8/7/2022,1,11,9,11,10,3
8/6/2022,71,1,7,6,8,7
8/5/2022,2,9,7,13,17,1
8/4/2022,1,1,17,5,7,6
8/3/2022,59,1,20,1,18,6
8/2/2022,69,32,16,7,13,4
8/1/2022,10,53,16,17,19,7
7/31/2022,49,21,16,12,5,7
7/30/2022,22,38,22,1,8,4
7/29/2022,59,5,14,1,11,4
7/28/2022,24,12,28,1,5,4
7/27/2022,51,50,15,13,7,2
7/26/2022,53,46,15,1,14,8
7/25/2022,22,28,28,1,5,6
7/24/2022,80,1,22,4,9,7
7/23/2022,1,14,16,8,22,2
7/22/2022,47,41,17,10,10,1
7/21/2022,1,24,11,1,17,2
7/20/2022,50,46,11,1,25,1
7/19/2022,34,33,13,1,2,5
7/18/2022,51,16,18,5,11,2
7/17/2022,1,28,23,1,1,1
7/16/2022,13,1,20,14,8,1
7/15/2022,28,1,15,10,2,1
7/14/2022,93,18,14,8,14,2
7/13/2022,1,38,7,12,11,7
7/12/2022,14,26,12,1,14,9
7/11/2022,51,14,13,1,1,1
7/10/2022,64,5,12,4,13,2
7/9/2022,4,19,16,1,8,4
7/8/2022,2,2,13,1,16,2
7/7/2022,22,1,12,1,15,8
7/6/2022,1,1,13,1,17,1
7/5/2022,122,1,13,3,20,1
7/4/2022,55,20,18,7,20,1
7/3/2022,17,43,16,9,1,1
7/2/2022,4,42,14,9,20,5
7/1/2022,1,2,10,6,9,7
6/30/2022,23,21,22,1,4,3
6/29/2022,39,10,19,5,9,3
6/28/2022,79,1,13,13,10,1
6/27/2022,2,1,17,7,11,3
6/26/2022,32,1,14,1,9,1
6/25/2022,2,30,11,11,13,4
6/24/2022,2,1,16,1,1,1
6/23/2022,75,1,5,5,18,11
6/22/2022,10,8,36,15,19,6
6/21/2022,16,1,21,1,5,1
6/20/2022,1,1,10,2,3,3
6/19/2022,76,1,31,1,4,1
6/18/2022,95,20,10,14,12,2
6/17/2022,130,30,5,1,1,4
6/16/2022,1,1,6,1,2,3
6/15/2022,3,1,11,1,12,1
6/14/2022,59,2,5,2,18,4
6/13/2022,7,34,7,7,3,5
6/12/2022,12,42,18,9,18,2
6/11/2022,34,33,14,1,11,2
6/10/2022,90,46,8,8,13,1
6/9/2022,1,1,14,1,2,2
6/8/2022,1,2,16,8,4,6
6/7/2022,26,1,11,6,1,1
6/6/2022,22,21,10,1,3,2
6/5/2022,34,1,9,1,6,5
6/4/2022,1,1,19,11,16,3
6/3/2022,2,1,17,9,8,5
6/2/2022,45,1,8,8,1,6
6/1/2022,10,1,21,16,1,1
5/31/2022,1,4,21,5,11,4
5/30/2022,1,1,14,12,1,3
5/29/2022,1,1,14,1,20,3
5/28/2022,6,1,16,1,8,4
5/27/2022,1,3,18,12,9,1
5/26/2022,2,32,19,15,4,2
5/25/2022,2,2,17,15,10,1
5/24/2022,99,2,8,4,8,3
5/23/2022,13,27,5,1,9,3
5/22/2022,40,30,5,6,9,2
5/21/2022,2,22,5,11,1,1
5/20/2022,56,1,6,1,16,5
5/19/2022,70,1,15,12,27,5
5/18/2022,1,22,21,5,18,11
5/17/2022,1,1,20,8,1,5
5/16/2022,2,1,12,3,10,1
5/15/2022,1,1,7,14,6,2
5/14/2022,18,19,6,2,12,4
5/13/2022,33,1,6,1,3,2
5/12/2022,2,20,10,12,10,1
5/11/2022,56,1,6,23,12,1
5/10/2022,24,53,21,5,1,1
5/9/2022,58,48,15,8,5,6
5/8/2022,29,21,10,9,27,1
5/7/2022,70,33,14,1,18,4
5/6/2022,2,1,16,14,2,6
